person_id,player_name,player_type,draft_year,draft_pick,draft_round,draft_bonus,draft_school,draft_rank,draft_position,height,weight,bats,throws,college_season,fg_G,fg_AB,fg_PA,fg_H,fg_1B,fg_2B,fg_3B,fg_HR,fg_R,fg_RBI,fg_BB,fg_IBB,fg_SO,fg_HBP,fg_SF,fg_SH,fg_GDP,fg_SB,fg_CS,fg_AVG,fg_BB_pct,fg_K_pct,fg_BB/K,fg_OBP,fg_SLG,fg_OPS,fg_ISO,fg_Spd,fg_BABIP,fg_wRC,fg_wRAA,fg_wOBA,fg_wRC_plus,fg_wBsR,fg_Age,fg_MaxAge,reached_mlb,mlb_debut_date,peak_level,peak_level_rank,num_milb_seasons,milb_seasons_list,first_milb_level,first_milb_season,first_milb_avg,first_milb_obp,first_milb_slg,first_milb_ops,first_milb_babip,first_milb_gamesPlayed,first_milb_plateAppearances,first_milb_homeRuns,first_milb_strikeOuts,first_milb_baseOnBalls,best_milb_avg,best_milb_obp,best_milb_slg,best_milb_ops,best_milb_babip,best_milb_gamesPlayed,best_milb_plateAppearances,best_milb_homeRuns,best_milb_strikeOuts,best_milb_baseOnBalls,first_milb_era,first_milb_whip,first_milb_k_per_9,first_milb_bb_per_9,first_milb_fip,first_milb_gamesPitched,first_milb_inningsPitched,first_milb_k_bb,fg_W,fg_L,fg_ERA,fg_GS,fg_CG,fg_SHO,fg_SV,fg_IP,fg_TBF,fg_ER,fg_WP,fg_BK,fg_K_per_nine,fg_BB_per_nine,fg_KBB,fg_HR_per_nine,fg_WHIP,fg_LOB_pct,fg_FIP,fg_ERA_minus_FIP,fg_K_minus_BB_pct,best_milb_era,best_milb_whip,best_milb_k_per_9,best_milb_bb_per_9,best_milb_fip,best_milb_gamesPitched,best_milb_inningsPitched,best_milb_k_bb,best_milb_k_bb_pct,draftability_score,school_class,conference_tier,conference,bmi
700242,Trey Sweeney,hitter,2021,20,1,3000000.0,Eastern Illinois,55.0,Shortstop,"6' 2""",212,L,R,2021,48.0,170.0,226.0,65.0,39.0,10.0,2.0,14.0,52.0,58.0,46.0,,24.0,7.0,3.0,0.0,6.0,3.0,2.0,0.382352941,0.203539823,0.10619469,1.916666666,0.522123893,0.711764705,1.233888598,0.329411764,5.1437116271289955,0.377777777,69.64958860179097,36.28544633289487,0.5308986625312704,208.75581946766297,-0.3445035587064922,21,21,True,2024-08-16,AA,3,3,"[2021, 2022, 2023]",A,2021,0.167,0.231,0.417,0.648,0.143,3.0,13.0,1.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,4.0,OVC,27.2
680273,Chris Meyers,hitter,2021,375,13,125000.0,Toledo,,Outfield,"6' 3""",210,L,R,2021,54.0,180.0,230.0,68.0,34.0,18.0,1.0,15.0,50.0,55.0,39.0,,42.0,10.0,1.0,0.0,3.0,10.0,4.0,0.377777777,0.169565217,0.182608695,0.928571428,0.508695652,0.738888888,1.24758454,0.361111111,5.908403843308146,0.427419354,71.2032086478269,36.98366739616751,0.5463609171950299,208.07762478222605,-0.1717600177798885,22,22,False,,AA,3,5,"[2021, 2023, 2024, 2025, 2025]",A,2021,0.205,0.32,0.325,0.645,0.25,25.0,97.0,1.0,18.0,11.0,0.205,0.32,0.325,0.645,0.25,25.0,97.0,1.0,18.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR SR,3.0,MAC,26.2
680810,Quincy Hamilton,hitter,2021,148,5,47500.0,Wright State University,,Outfield,"5' 9""",190,L,L,2021,48.0,179.0,241.0,67.0,30.0,18.0,4.0,15.0,78.0,65.0,56.0,,32.0,6.0,0.0,0.0,0.0,20.0,3.0,0.374301675,0.232365145,0.132780082,1.75,0.535269709,0.77094972,1.306219429,0.396648045,8.954595138347406,0.393939393,83.43672759145335,42.6532602241619,0.5563485261315627,204.5846833964148,2.0559206341858953,23,23,False,,AAA,4,3,"[2021, 2022, 2024]",A,2021,0.261,0.366,0.357,0.723,0.311,33.0,142.0,2.0,28.0,18.0,0.261,0.366,0.357,0.723,0.311,33.0,142.0,2.0,28.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR 5S,3.0,Horizon,28.1
681297,Colton Cowser,hitter,2021,5,1,4900000.0,Sam Houston,10.0,Outfielder,"6' 3""",220,L,R,2021,55.0,203.0,253.0,76.0,48.0,10.0,2.0,16.0,61.0,52.0,42.0,,32.0,6.0,2.0,0.0,1.0,17.0,3.0,0.374384236,0.166007905,0.126482213,1.3125,0.490118577,0.679802955,1.169921532,0.305418719,7.294954381011465,0.382165605,71.01371150576473,36.29963892065882,0.523529443345051,204.56750308298092,1.5888364240527153,21,21,True,2023-07-05,AAA,4,3,"[2021, 2022, 2023]",A,2021,0.347,0.476,0.429,0.905,0.418,25.0,124.0,1.0,19.0,22.0,0.347,0.476,0.429,0.905,0.418,25.0,124.0,1.0,19.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,2.0,CUSA,27.5
676203,Marcos Castañon,hitter,2021,370,12,125000.0,UC Santa Barbara,,Shortstop,"5' 10""",195,R,R,2021,28.0,109.0,130.0,44.0,26.0,10.0,0.0,8.0,31.0,40.0,15.0,,22.0,5.0,1.0,0.0,4.0,3.0,0.0,0.403669724,0.115384615,0.169230769,0.681818181,0.492307692,0.71559633,1.207904022,0.311926606,5.200292461767705,0.45,37.48704553062865,19.10755679423758,0.535586739044923,203.9613074568552,0.7063367427326739,22,22,False,,AAA,4,4,"[2022, 2023, 2024, 2025]",A,2022,0.222,0.263,0.556,0.819,0.2,4.0,19.0,2.0,6.0,1.0,0.3,0.386,0.55,0.936,0.385,16.0,70.0,3.0,19.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR SR,,,28.0
679788,Jack Rogers,hitter,2021,270,9,127500.0,Sam Houston,,Outfielder,"6' 0""",205,L,L,2021,55.0,207.0,251.0,76.0,41.0,18.0,1.0,16.0,49.0,55.0,31.0,,58.0,12.0,1.0,0.0,6.0,12.0,6.0,0.367149758,0.123505976,0.231075697,0.534482758,0.474103585,0.695652173,1.169755758,0.328502415,5.593957374660368,0.447761194,69.9988120035821,35.55915896460354,0.5214041369369781,203.25063067376985,-0.9440056281164289,22,22,False,,AA,3,5,"[2021, 2022, 2023, 2024, 2025]",A+,2021,0.188,0.221,0.375,0.596,0.3,18.0,68.0,3.0,32.0,3.0,0.285,0.357,0.51,0.867,0.443,72.0,283.0,10.0,104.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR SR,2.0,CUSA,27.8
800050,Chase DeLauter,hitter,2022,16,1,3750000.0,James Madison University,18.0,Outfielder,"6' 3""",235,L,L,2022,24.0,87.0,118.0,38.0,21.0,8.0,1.0,8.0,31.0,35.0,28.0,,21.0,2.0,1.0,0.0,2.0,10.0,1.0,0.436781609,0.237288135,0.177966101,1.333333333,0.576271186,0.827586206,1.403857392,0.390804597,7.8238154662887425,0.508474576,42.221972952422824,24.684300164518085,0.5949696772179361,240.75014663029967,1.2634208295494318,20,20,True,2025-10-01,AAA,4,3,"[2023, 2023, 2024]",AA,2023,0.364,0.464,0.409,0.873,0.4,6.0,28.0,0.0,3.0,5.0,0.366,0.403,0.549,0.952,0.403,42.0,176.0,4.0,22.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,2.0,Sun Belt,29.4
687263,Zach Neto,hitter,2022,13,1,3500000.0,Campbell University,17.0,Shortstop,"5' 11""",185,R,R,2022,53.0,199.0,256.0,81.0,41.0,23.0,2.0,15.0,65.0,50.0,39.0,,19.0,11.0,6.0,1.0,4.0,19.0,1.0,0.407035175,0.15234375,0.07421875,2.052631578,0.51372549,0.768844221,1.282569711,0.361809046,8.048157661406826,0.385964912,83.68396506036655,44.86064657892123,0.5513204894813837,215.55077807261975,3.1403149417892564,21,21,True,2023-04-15,AA,3,1,[2022],AA,2022,0.25,0.357,0.667,1.024,0.222,3.0,14.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,3.0,CAA,25.8
702176,Alan Roden,hitter,2022,98,3,497500.0,Creighton,175.0,Outfielder,"5' 11""",215,L,R,2022,49.0,194.0,242.0,75.0,44.0,25.0,2.0,4.0,48.0,46.0,29.0,,8.0,15.0,4.0,0.0,4.0,9.0,5.0,0.386597938,0.11983471,0.033057851,3.625,0.491735537,0.597938144,1.089673681,0.211340206,6.223504040398652,0.38172043,64.85409271958949,27.50750199202181,0.4941021467535949,173.65465349348997,-1.144968530163169,22,22,True,2025-03-27,AA,3,2,"[2022, 2023]",A,2022,0.294,0.455,0.353,0.808,0.357,5.0,22.0,0.0,3.0,2.0,0.31,0.421,0.46,0.881,0.35,46.0,209.0,6.0,32.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR SR,2.0,Big East,30.0
693459,Kyler Fedko,hitter,2021,369,12,125000.0,Connecticut,,Outfielder,"6' 0""",215,R,R,2021,52.0,196.0,234.0,78.0,50.0,14.0,2.0,12.0,57.0,53.0,28.0,,37.0,7.0,2.0,1.0,2.0,7.0,4.0,0.397959183,0.119658119,0.158119658,0.756756756,0.48497854,0.673469387,1.158447927,0.275510204,6.433450154600484,0.44295302,64.50574342986808,32.38348166724905,0.5217754899688033,200.8132052050395,-1.1137698576785624,21,21,True,2026-06-15,AAA,4,5,"[2021, 2022, 2023, 2024, 2025]",A,2021,0.235,0.346,0.265,0.611,0.32,23.0,81.0,0.0,19.0,11.0,0.268,0.353,0.476,0.829,0.31,42.0,187.0,8.0,41.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,NEC,29.2
681234,Charlie Welch,hitter,2021,564,19,125000.0,Arkansas,,Catcher,"5' 11""",205,R,R,2021,28.0,67.0,81.0,26.0,13.0,5.0,0.0,8.0,21.0,25.0,13.0,,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.388059701,0.160493827,0.172839506,0.928571428,0.49382716,0.820895522,1.314722682,0.432835821,2.1388248775,0.4,25.935810765379973,12.917118555063311,0.5512413882914885,199.2197860306364,-0.1616730317473411,21,21,False,,A+,2,2,"[2022, 2023]",A+,2022,0.211,0.367,0.44,0.807,0.283,51.0,210.0,9.0,67.0,41.0,0.211,0.367,0.44,0.807,0.283,51.0,210.0,9.0,67.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR SR,4.0,OVC,28.6
702315,Bennett Hostetler,hitter,2021,539,18,60000.0,North Dakota State,,Catcher,"5' 10""",195,R,R,2021,61.0,213.0,272.0,84.0,60.0,13.0,1.0,10.0,52.0,58.0,36.0,,38.0,19.0,3.0,1.0,5.0,19.0,2.0,0.394366197,0.132352941,0.139705882,0.947368421,0.512915129,0.605633802,1.118548931,0.211267605,6.642998461797229,0.44047619,76.99795442135411,38.077617698026486,0.5167281979564371,197.83475916127915,2.446747991722077,23,23,False,,AAA,4,5,"[2021, 2022, 2023, 2024, 2025]",A+,2021,0.265,0.359,0.5,0.859,0.35,10.0,39.0,2.0,12.0,2.0,0.266,0.301,0.392,0.693,0.408,24.0,83.0,1.0,29.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR 5S,3.0,Summit League,28.0
682988,Tyler Locklear,hitter,2022,58,2,1276500.0,VCU,98.0,First Base,"6' 2""",210,R,R,2022,62.0,224.0,295.0,90.0,43.0,25.0,2.0,20.0,77.0,78.0,47.0,,25.0,23.0,1.0,0.0,2.0,6.0,2.0,0.401785714,0.159322033,0.084745762,1.88,0.542372881,0.799107142,1.341480023,0.397321428,6.25123561960166,0.388888888,102.2027868377807,55.794861574733496,0.5746473187107151,220.2270113530818,-0.0051874923301511,21,21,True,2024-06-09,AAA,4,3,"[2022, 2023, 2024]",A,2022,0.282,0.353,0.504,0.857,0.313,29.0,133.0,7.0,29.0,7.0,0.282,0.353,0.504,0.857,0.313,29.0,133.0,7.0,29.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,,,27.0
684855,Jared Dupere,hitter,2021,386,13,125000.0,Northeastern,,Outfield,"5' 11""",200,L,R,2021,48.0,178.0,219.0,61.0,27.0,11.0,2.0,21.0,60.0,50.0,33.0,,52.0,6.0,2.0,0.0,1.0,14.0,1.0,0.342696629,0.150684931,0.237442922,0.634615384,0.456621004,0.780898876,1.23751988,0.438202247,8.835059201692639,0.373831775,64.51127636328573,31.23743060127135,0.5209100622020356,193.87983230039544,2.017450511921197,22,22,False,,A+,2,2,"[2022, 2023]",A+,2022,,,,,,,,,,,0.246,0.313,0.428,0.741,0.387,93.0,392.0,12.0,149.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,3.0,CAA,27.9
702140,Ruben Ibarra,hitter,2021,119,4,172500.0,San Jose State,,First Base,"6' 3""",290,R,R,2021,35.0,113.0,149.0,43.0,19.0,9.0,1.0,14.0,30.0,32.0,28.0,,24.0,4.0,4.0,0.0,1.0,0.0,0.0,0.380530973,0.187919463,0.161073825,1.166666666,0.503355704,0.849557522,1.352913226,0.469026549,3.0222431025,0.367088607,49.081112861193816,23.52531304911534,0.537903872512331,192.0546929546558,0.2613757196813822,22,22,False,,AA,3,4,"[2021, 2023, 2024, 2025]",A,2021,0.195,0.358,0.268,0.626,0.278,27.0,106.0,1.0,29.0,16.0,0.238,0.346,0.441,0.787,0.276,98.0,402.0,18.0,98.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR SR,2.0,Mountain West,36.2
700939,Bennett Lee,hitter,2023,170,6,297500.0,Wake Forest,,Catcher,"5' 11""",215,R,R,2023,46.0,142.0,186.0,43.0,33.0,3.0,0.0,7.0,30.0,34.0,32.0,,32.0,5.0,5.0,2.0,4.0,5.0,0.0,0.302816901,0.17204301,0.17204301,1.0,0.434782608,0.471830985,0.906613593,0.169014084,4.614792559773284,0.333333333,36.51366965365131,3.172919853446084,0.4126028327838234,109.5166421644979,0.6319267814978957,21,21,False,,A+,2,3,"[2023, 2024, 2025]",A,2023,0.111,0.333,0.111,0.444,0.167,3.0,12.0,0.0,3.0,2.0,0.166,0.292,0.242,0.534,0.238,49.0,185.0,1.0,51.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,1.0,ACC,30.0
695039,Jack-Thomas Wold,hitter,2021,352,12,125000.0,UNLV,,Outfield,"5' 10""",220,L,L,2021,33.0,140.0,161.0,60.0,34.0,13.0,1.0,12.0,33.0,43.0,19.0,,14.0,0.0,2.0,0.0,3.0,1.0,0.0,0.428571428,0.118012422,0.086956521,1.357142857,0.490683229,0.792857142,1.283540371,0.364285714,4.210023733530784,0.413793103,51.70786090526068,24.093875873417495,0.5299702431104198,187.25244055008193,0.4716257508844137,21,21,False,,A,1,1,[2021],A,2021,0.279,0.315,0.442,0.757,0.324,25.0,92.0,2.0,17.0,5.0,0.279,0.315,0.442,0.757,0.324,25.0,92.0,2.0,17.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR SR,,,31.6
694359,Niko Kavadas,hitter,2021,316,11,250000.0,Notre Dame,135.0,First Base,"5' 11""",235,L,R,2021,46.0,154.0,215.0,47.0,18.0,8.0,0.0,21.0,41.0,62.0,50.0,,53.0,6.0,5.0,0.0,0.0,2.0,0.0,0.305194805,0.232558139,0.246511627,0.943396226,0.479069767,0.766233766,1.245303533,0.461038961,3.0425829792223396,0.305882352,60.872945380935555,28.0981442756747,0.5098051597905714,185.7309375743688,0.2176553639583289,22,22,True,2024-08-16,AAA,4,3,"[2022, 2023, 2025]",AA,2022,0.111,0.111,0.444,0.555,0.0,2.0,9.0,1.0,6.0,0.0,0.235,0.362,0.479,0.841,0.3,116.0,527.0,28.0,163.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR SR,3.0,MVC,32.8
701864,Griffin Doersching,hitter,2022,240,8,25000.0,Oklahoma State,,First Base,"6' 4""",251,R,R,2022,42.0,159.0,194.0,47.0,18.0,13.0,1.0,15.0,29.0,58.0,29.0,,51.0,3.0,3.0,0.0,1.0,1.0,0.0,0.295597484,0.149484536,0.262886597,0.56862745,0.407216494,0.672955974,1.080172468,0.37735849,3.84875872298997,0.333333333,45.6140668638933,12.880520934699804,0.452176639099711,139.34960472220726,-0.0577243575826287,23,23,False,,A+,2,2,"[2022, 2023]",A,2022,0.412,0.444,0.824,1.268,0.455,4.0,18.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR 5S,1.0,Big 12,30.5
687284,Thomas Gavello,hitter,2022,406,13,125000.0,Pacific,,Catcher,"5' 9""",191,L,R,2022,50.0,186.0,234.0,46.0,22.0,13.0,0.0,11.0,31.0,31.0,33.0,,58.0,13.0,2.0,0.0,1.0,4.0,2.0,0.247311827,0.141025641,0.247863247,0.568965517,0.393162393,0.494623655,0.887786048,0.247311828,3.353893164664953,0.294117647,43.160053290788134,10.021480001870598,0.4079077608055538,130.24113293743414,-0.1511123105883598,21,21,False,,AAA,4,3,"[2023, 2024, 2025]",A+,2023,0.217,0.311,0.272,0.583,0.352,29.0,106.0,1.0,0.0,0.0,0.262,0.347,0.488,0.835,0.354,51.0,197.0,9.0,64.0,18.0,3.86,2.14,0.0,0.0,3.1,3.0,2.3333333333333335,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,4.0,WCC,28.2
701648,Aaron Zavala,hitter,2021,38,2,830000.0,Oregon,76.0,Outfield,"5' 11""",193,L,R,2021,55.0,199.0,255.0,78.0,52.0,14.0,3.0,9.0,64.0,38.0,50.0,,31.0,6.0,0.0,0.0,3.0,11.0,2.0,0.391959798,0.196078431,0.121568627,1.612903225,0.525490196,0.628140703,1.153630899,0.236180905,7.380605892254495,0.433962264,71.98422567288607,32.59961263577669,0.5187105459325454,182.77245889164976,0.8814932592213154,21,21,False,,AAA,4,5,"[2021, 2022, 2023, 2024, 2025]",A,2021,0.053,0.174,0.211,0.385,0.0,5.0,23.0,1.0,8.0,2.0,0.214,0.318,0.375,0.693,0.278,16.0,67.0,2.0,19.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,2.0,Big Ten,26.9
689070,Spencer Packard,hitter,2021,264,9,25000.0,Campbell University,,Outfield,"5' 11""",210,L,R,2021,55.0,197.0,253.0,73.0,44.0,18.0,0.0,11.0,53.0,67.0,32.0,,24.0,18.0,5.0,1.0,3.0,2.0,1.0,0.370558375,0.126482213,0.09486166,1.333333333,0.488095238,0.629441624,1.117536862,0.258883249,3.6200532431470624,0.371257485,69.62587938390877,31.45823236488011,0.5029086962578788,182.42119916167863,-0.0093807384837418,23,23,False,,AAA,4,3,"[2021, 2022, 2025]",A,2021,0.25,0.348,0.375,0.723,0.276,29.0,138.0,3.0,19.0,13.0,0.282,0.397,0.49,0.887,0.303,69.0,307.0,12.0,47.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR SR,3.0,CAA,29.3
681393,Connor Norby,hitter,2021,41,2,1700000.0,East Carolina,58.0,First Base,"5' 10""",180,R,R,2021,61.0,246.0,284.0,102.0,72.0,15.0,0.0,15.0,64.0,51.0,33.0,,34.0,2.0,2.0,1.0,4.0,18.0,4.0,0.414634146,0.116197183,0.119718309,0.970588235,0.484098939,0.658536585,1.142635524,0.243902439,5.397783955891232,0.437185929,79.1155116104812,35.68140502211756,0.5035539503232329,182.1506595272686,1.3169995648786426,21,21,True,2024-06-03,AAA,4,4,"[2021, 2022, 2022, 2023]",A,2021,0.283,0.413,0.434,0.847,0.352,26.0,126.0,3.0,28.0,21.0,0.298,0.389,0.571,0.96,0.322,64.0,296.0,17.0,59.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,2.0,American,25.8
700361,Shawn Goosenberg,hitter,2021,575,19,125000.0,Northwestern,,Shortstop,"6' 0""",195,R,R,2021,36.0,152.0,169.0,55.0,29.0,12.0,0.0,14.0,38.0,30.0,12.0,,32.0,5.0,0.0,0.0,0.0,10.0,0.0,0.361842105,0.071005917,0.189349112,0.375,0.426035502,0.717105263,1.143140765,0.355263158,6.468991526071791,0.386792452,44.266864210775225,19.715294063499297,0.4915324139171803,180.3015609398276,1.9202319737523792,21,21,False,,AA,3,3,"[2021, 2023, 2024]",A,2021,0.213,0.351,0.338,0.689,0.348,23.0,97.0,1.0,33.0,14.0,0.213,0.351,0.338,0.689,0.348,23.0,97.0,1.0,33.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,2.0,Big Ten,26.4
695257,Billy Cook,hitter,2021,287,10,100000.0,Pepperdine,,Outfielder,"6' 0""",204,R,R,2021,33.0,131.0,153.0,39.0,18.0,3.0,1.0,17.0,36.0,42.0,12.0,,43.0,8.0,2.0,0.0,1.0,5.0,1.0,0.297709923,0.078431372,0.281045751,0.279069767,0.385620915,0.725190839,1.110811754,0.427480916,7.549824681607108,0.301369863,36.62042833258392,16.21596326817753,0.4748763749802034,179.47262139434713,0.5228184117586352,22,22,True,2024-09-08,AA,3,3,"[2021, 2022, 2023]",A,2021,0.258,0.33,0.516,0.846,0.333,22.0,103.0,6.0,33.0,8.0,0.258,0.33,0.516,0.846,0.333,22.0,103.0,6.0,33.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR SR,4.0,WCC,27.7
695391,Brett Harris,hitter,2021,218,7,120000.0,Gonzaga,,Third Base,"6' 2""",208,R,R,2021,53.0,200.0,257.0,70.0,46.0,17.0,1.0,6.0,53.0,43.0,29.0,,26.0,25.0,3.0,0.0,5.0,7.0,6.0,0.35,0.112840466,0.101167315,1.115384615,0.482490272,0.535,1.017490272,0.185,5.576236506074823,0.374269005,61.26109621604298,26.986929408510672,0.4737006293660472,178.73839664741274,-1.4988568365806714,23,23,True,2024-05-03,AAA,4,3,"[2021, 2022, 2024]",A+,2021,0.222,0.323,0.37,0.693,0.259,25.0,94.0,3.0,20.0,8.0,0.281,0.385,0.419,0.804,0.338,74.0,317.0,8.0,62.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR SR,4.0,WCC,26.7
672012,Tyler Black,hitter,2021,33,0,2200000.0,Wright State University,57.0,Designated Hitter,"6' 0""",208,L,R,2021,48.0,183.0,233.0,70.0,42.0,14.0,1.0,13.0,64.0,59.0,39.0,,25.0,6.0,4.0,1.0,1.0,11.0,1.0,0.382513661,0.167381974,0.107296137,1.56,0.495689655,0.683060109,1.178749764,0.300546448,7.007244562130769,0.382550335,70.37934580492637,30.94968648302218,0.5118399634957314,178.4934159089446,1.5240014017908834,20,20,True,2024-04-30,AAA,4,4,"[2021, 2023, 2024, 2025]",A,2021,0.222,0.388,0.272,0.66,0.346,23.0,103.0,0.0,29.0,20.0,0.31,0.428,0.514,0.942,0.345,39.0,173.0,4.0,23.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,3.0,Horizon,28.2
801822,Jackson Feltner,hitter,2023,235,8,175000.0,Morehead State,,First Base,"6' 2""",220,R,R,2023,56.0,207.0,266.0,72.0,40.0,15.0,3.0,14.0,60.0,47.0,49.0,,45.0,6.0,4.0,0.0,1.0,5.0,2.0,0.347826086,0.184210526,0.169172932,1.088888888,0.477443609,0.652173913,1.129617522,0.304347827,6.44614923070943,0.381578947,72.25522315506373,30.27207455043231,0.489278412178943,172.10529833175212,-0.3990658901166171,21,21,False,,A+,2,2,"[2023, 2024]",A,2023,0.208,0.406,0.25,0.656,0.385,8.0,32.0,0.0,11.0,6.0,0.162,0.219,0.294,0.513,0.243,20.0,73.0,2.0,29.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,4.0,OVC,28.2
680779,Henry Davis,hitter,2021,1,1,6500000.0,Louisville,5.0,Catcher,"5' 11""",225,R,R,2021,50.0,184.0,228.0,68.0,44.0,9.0,0.0,15.0,45.0,48.0,31.0,,24.0,11.0,2.0,0.0,4.0,10.0,3.0,0.369565217,0.135964912,0.105263157,1.291666666,0.48245614,0.663043478,1.145499618,0.293478261,4.6508798349169655,0.360544217,61.59384380880382,26.837310543689988,0.4951672044239546,177.2151535913606,0.3456723880954087,21,21,True,2023-06-19,AA,3,1,[2022],AA,2022,0.207,0.324,0.379,0.703,0.244,31.0,136.0,4.0,30.0,12.0,0.207,0.324,0.379,0.703,0.244,31.0,136.0,4.0,30.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,2.0,CUSA,31.4
681286,JT Schwartz,hitter,2021,111,4,475000.0,UCLA,145.0,First Base,"6' 3""",215,L,R,2021,44.0,164.0,214.0,65.0,44.0,12.0,1.0,8.0,44.0,45.0,37.0,,28.0,8.0,5.0,0.0,3.0,1.0,0.0,0.396341463,0.172897196,0.130841121,1.321428571,0.514018691,0.62804878,1.142067471,0.231707317,4.125404284913635,0.428571428,58.413583250477735,25.36139819188399,0.5079343823071952,176.7313814409673,-0.1137184547260403,21,21,False,,AAA,4,5,"[2021, 2022, 2023, 2024, 2025]",A,2021,0.195,0.32,0.256,0.576,0.222,25.0,100.0,0.0,12.0,13.0,0.219,0.287,0.381,0.668,0.234,48.0,178.0,5.0,29.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR JR,,,26.9
813852,Trey Paige,hitter,2023,515,17,150000.0,Delaware State University,,Third Base,"5' 11""",215,L,R,2023,48.0,191.0,231.0,71.0,40.0,15.0,2.0,14.0,55.0,53.0,34.0,,30.0,3.0,3.0,0.0,2.0,10.0,4.0,0.371727748,0.147186147,0.129870129,1.133333333,0.467532467,0.691099476,1.158631943,0.319371728,6.835179081697836,0.38,65.43394096164135,28.92555081812767,0.5000338492455421,179.22987210452715,-0.7447730835992843,22,22,False,,AA,3,3,"[2023, 2024, 2025]",A,2023,,,,,,,,,,,0.254,0.323,0.305,0.628,0.375,16.0,65.0,0.0,19.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR SR,4.0,NEC,30.0
690107,Jackson Glenn,hitter,2021,133,5,12500.0,Dallas Baptist,,Third Base,"5' 11""",205,R,R,2021,59.0,235.0,272.0,86.0,44.0,19.0,2.0,21.0,62.0,55.0,32.0,,33.0,1.0,4.0,0.0,6.0,13.0,0.0,0.365957446,0.117647058,0.121323529,0.969696969,0.4375,0.731914893,1.169414893,0.365957447,7.433248631506266,0.351351351,72.142927285531,31.040551062920528,0.4975010432741221,175.52008889900893,2.547915560309775,23,23,False,,AA,3,3,"[2021, 2022, 2023]",A,2021,0.286,0.286,0.643,0.929,0.25,3.0,14.0,1.0,1.0,0.0,0.274,0.329,0.443,0.772,0.323,54.0,239.0,6.0,46.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4YR 5S,2.0,CUSA,28.6
